year,i3,inf,rdisp,rnondc,rserv,pop,y,rcons,c,r3,lc,ly,gc,gy,gc_1,gy_1,r3_1,lc_ly,lc_ly_1,gc_2,gy_2,r3_2,lc_ly_2
1978,7.2199998,7.5999999,3264.2,1045.7,1589.3,222585,14664.959,2635,11838.174,-.38000011,9.3790846,9.5932159,.030621529,.039372444,.024831772,.021713257,-1.23,-.21413136,-.20538044,.03457737,.028787613,-.81000042,-.20849895
1979,10.04,11.3,3353.8999,1069.7,1639.8,225055,14902.579,2709.5,12039.279,-1.2600002,9.3959303,9.6092892,.016845703,.016073227,.030621529,.039372444,-.38000011,-.21335888,-.21413136,.024831772,.021713257,-1.23,-.20538044
1980,11.51,13.5,3373.3,1065.1,1670.7,227726,14812.978,2735.7998,12013.56,-1.9899998,9.3937912,9.6032591,-.0021390915,-.0060300827,.016845703,.016073227,-1.2600002,-.20946789,-.21335888,.030621529,.039372444,-.38000011,-.21413136
1981,14.03,10.3,3452.3,1074.3,1696.1,229966,15012.22,2770.3999,12046.998,3.7299995,9.3965712,9.6166201,.0027799606,.013360977,-.0021390915,-.0060300827,-1.9899998,-.2200489,-.20946789,.016845703,.016073227,-1.2600002,-.21335888
1982,10.69,6.1999998,3483,1080.6,1728.2,232188,15000.775,2808.7998,12097.093,4.4899998,9.4007206,9.6158571,.004149437,-.00076293945,.0027799606,.013360977,3.7299995,-.21513653,-.2200489,-.0021390915,-.0060300827,-1.9899998,-.20946789
1983,8.6300001,3.2,3579.8999,1112.4,1809,234307,15278.673,2921.3999,12468.257,5.4300003,9.4309416,9.6342134,.030220985,.018356323,.004149437,-.00076293945,4.4899998,-.20327187,-.21513653,.0027799606,.013360977,3.7299995,-.2200489
1984,9.5799999,4.3000002,3842,1151.8,1883,236348,16255.69,3034.8,12840.388,5.2799997,9.460351,9.6961985,.029409409,.061985016,.030220985,.018356323,5.4300003,-.23584747,-.20327187,.004149437,-.00076293945,4.4899998,-.21513653
1985,7.48,3.5999999,3958.6001,1178.3,1977.3,238466,16600.27,3155.6001,13232.914,3.8800001,9.4904623,9.7171745,.030111313,.020976067,.029409409,.061985016,5.2799997,-.22671223,-.23584747,.030220985,.018356323,5.4300003,-.20327187
1986,5.98,1.9,4087,1215.9,2041.4,240651,16983.1,3257.3,13535.369,4.0799999,9.5130615,9.739974,.02259922,.022799492,.030111313,.020976067,3.8800001,-.2269125,-.22671223,.029409409,.061985016,5.2799997,-.23584747
1987,5.8200002,3.5999999,4154.1001,1239.3,2126.8999,242804,17108.861,3366.2,13863.857,2.2200003,9.5370407,9.7473516,.023979187,.0073776245,.02259922,.022799492,4.0799999,-.21031094,-.2269125,.030111313,.020976067,3.8800001,-.22671223
1988,6.6900001,4.0999999,4318.1001,1274.4,2212.3999,245021,17623.389,3486.7998,14230.616,2.5900002,9.5631514,9.7769823,.026110649,.029630661,.023979187,.0073776245,2.2200003,-.21383095,-.21031094,.02259922,.022799492,4.0799999,-.2269125
1989,8.1199999,4.8000002,4403.7002,1303.5,2262.3,247342,17804.094,3565.8,14416.477,3.3199997,9.5761271,9.7871838,.012975693,.010201454,.026110649,.029630661,2.5900002,-.21105671,-.21383095,.023979187,.0073776245,2.2200003,-.21031094
1990,7.5100002,5.4000001,4484.6001,1316.1,2321.3,249913,17944.645,3637.3999,14554.665,2.1100001,9.5856667,9.7950468,.0095396042,.0078630447,.012975693,.010201454,3.3199997,-.20938015,-.21105671,.026110649,.029630661,2.5900002,-.21383095
1991,5.4200001,4.1999998,4486.5,1302.9,2341,252650,17757.768,3643.8999,14422.719,1.2200003,9.57656,9.7845783,-.009106636,-.010468483,.0095396042,.0078630447,2.1100001,-.2080183,-.20938015,.012975693,.010201454,3.3199997,-.21105671
1992,3.45,3,4613.7002,1321.8,2409.3999,255419,18063.262,3731.2,14608.153,.45000005,9.5893354,9.8016357,.012775421,.017057419,-.009106636,-.010468483,1.2200003,-.2123003,-.2080183,.0095396042,.0078630447,2.1100001,-.20938015
1993,3.02,3,4666.8999,1348.8,2466.7,258137,18079.158,3815.5,14780.911,.019999981,9.6010914,9.802515,.011755943,.00087928772,.012775421,.017057419,.45000005,-.20142365,-.2123003,-.009106636,-.010468483,1.2200003,-.2080183
1994,4.29,2.5999999,4778.2002,1390.5,2521.3999,260660,18331.16,3911.8999,15007.673,1.6900001,9.6163168,9.8163576,.01522541,.013842583,.011755943,.00087928772,.019999981,-.20004082,-.20142365,.012775421,.017057419,.45000005,-.2123003
1995,5.5100002,2.8,4945.7998,1421.9,2577,263034,18802.893,3998.8999,15202.978,2.7100003,9.6292467,9.8417664,.012929916,.025408745,.01522541,.013842583,1.6900001,-.21251965,-.20004082,.011755943,.00087928772,.019999981,-.20142365
