participation,income,education,age,youngkids,oldkids,foreign
1,10.5957,14,25,0,0,0
0,10.525842,12,40,0,1,0
0,10.783294,10,29,0,0,0
0,11.11614,11,37,0,2,0
0,11.151357,5,53,0,1,0
0,9.8247776,9,60,0,0,0
1,9.8956861,9,42,0,3,0
0,10.655496,12,32,0,3,0
0,9.7639894,5,59,0,0,0
1,9.8789024,8,45,0,1,0
0,11.134995,8,51,0,1,0
1,10.401523,8,35,0,0,0
0,10.749253,11,28,0,0,0
0,10.333153,5,57,0,0,0
1,10.823801,7,26,1,0,0
1,10.321485,5,42,0,0,0
0,10.656044,12,31,1,1,0
0,10.657436,8,55,0,0,0
0,10.846169,15,42,0,2,0
0,11.078196,11,40,0,3,0
0,10.453034,11,47,0,0,0
0,10.654172,9,47,0,1,0
1,10.646433,13,26,1,0,0
0,11.280745,9,44,1,0,0
0,10.583034,9,23,0,1,0
0,10.871061,8,50,0,0,0
0,10.263108,12,58,0,0,0
1,11.067098,9,40,0,2,0
1,10.517282,12,33,0,2,0
1,11.172825,15,30,0,0,0
0,10.596755,12,31,1,0,0
0,11.797981,12,31,2,0,0
1,10.552378,9,33,1,1,0
0,10.794188,12,35,0,2,0
1,10.139508,11,26,0,0,0
0,10.855759,14,24,1,0,0
0,10.96235,5,61,0,0,0
0,10.757639,10,29,0,1,0
1,9.554492,8,59,0,0,0
0,10.505683,12,27,1,0,0
0,9.8559866,11,62,0,0,0
1,10.790935,12,44,0,0,0
1,10.652796,10,36,0,0,0
0,10.539981,11,40,0,2,0
0,11.339795,10,48,0,1,0
1,11.224238,16,35,0,2,0
0,11.109163,12,32,1,1,0
0,10.866395,12,32,1,0,0
0,11.186703,8,49,0,0,0
1,10.192269,11,43,0,1,0
0,12.37565,12,39,0,4,0
0,10.472476,11,27,1,1,0
0,12.281528,12,42,0,3,0
0,10.537006,12,56,0,1,0
0,10.899256,13,31,0,3,0
1,10.658714,4,37,0,2,0
0,10.441724,8,38,0,1,0
0,10.407655,8,51,0,0,0
0,10.694172,9,50,0,0,0
0,9.8861237,5,60,0,0,0
1,10.479397,9,35,0,2,0
1,11.072008,11,35,0,2,0
1,10.455375,8,45,0,2,0
0,10.657366,11,24,2,0,0
0,10.452542,8,35,1,1,0
1,10.408072,17,32,1,0,0
1,10.242023,12,33,0,2,0
0,10.594236,8,46,0,1,0
0,11.764058,5,50,0,2,0
0,10.828298,12,32,0,0,0
0,10.255769,8,58,0,0,0
0,10.703698,8,41,0,2,0
0,10.915251,6,34,0,2,0
0,10.522782,4,21,1,0,0
0,10.271325,13,56,0,0,0
0,10.226447,8,34,0,3,0
0,10.265912,10,37,0,1,0
0,11.016894,12,31,0,1,0
0,10.607904,11,22,1,0,0
0,10.711562,11,32,1,1,0
1,10.83166,8,41,0,3,0
0,10.759536,12,37,0,4,0
0,10.591802,10,29,0,0,0
1,10.616046,9,46,0,1,1
1,10.391358,7,26,2,0,1
1,10.795493,9,44,0,0,1
1,10.38051,4,48,0,0,1
1,10.564662,4,34,0,3,1
0,10.698279,12,34,1,2,1
0,10.610146,5,48,0,0,1
1,10.684275,6,28,1,2,1
1,10.626887,5,32,0,2,1
1,10.409648,4,50,0,3,1
1,10.543944,5,36,2,1,1
1,11.22967,12,50,0,0,1
0,10.503701,11,25,2,0,1
1,10.696332,11,30,3,0,1
1,10.421497,5,25,0,2,1
1,10.59306,8,32,1,1,1
1,10.531076,10,29,1,1,1
0,10.5864,7,44,0,2,1
1,10.447639,5,40,0,3,1
0,10.633358,12,52,0,0,1
1,10.619115,8,27,2,1,1
1,10.814894,8,32,0,1,1
0,10.633692,12,30,2,0,1
1,10.495332,5,40,0,1,1
1,10.69087,4,47,0,0,1
1,10.389276,4,48,0,1,1
1,10.506461,6,36,0,1,1
1,10.806028,10,38,0,1,1
1,10.605672,3,38,0,1,1
0,10.439596,11,48,0,0,1
1,10.422506,7,41,0,0,1
1,10.436939,4,39,0,2,1
0,10.630927,9,31,2,0,1
0,10.945442,7,32,0,2,1
0,10.902927,4,41,1,1,1
1,10.706151,5,36,0,2,1
1,10.56807,3,38,0,3,1
1,10.255037,3,57,0,0,1
1,10.577855,8,34,0,2,1
1,10.562634,5,42,0,3,1
1,10.89776,11,32,0,0,1
1,10.181681,5,48,0,2,1
1,10.391575,9,22,2,0,1
0,10.551271,8,31,0,2,1
1,10.573802,4,26,0,0,1
1,10.688289,11,43,0,1,1
1,10.486849,4,44,0,2,1
1,10.108172,4,45,0,1,1
1,10.638368,5,29,1,1,1
1,10.368427,4,46,0,0,1
1,10.678598,5,31,1,1,1
1,10.599005,11,21,0,0,1
1,11.165198,12,41,0,1,1
0,10.614234,8,28,1,2,1
0,10.705376,2,39,1,0,1
1,10.433034,3,45,0,1,1
0,10.321651,4,49,0,1,1
1,10.574284,10,42,0,2,1
0,9.7373934,4,59,0,0,1
1,10.599734,5,54,0,0,1
1,10.277369,7,33,0,3,1
0,10.472802,9,24,1,1,1
1,10.349497,5,35,0,0,1
1,10.559267,8,49,0,0,1
0,10.587798,5,48,1,2,1
1,10.363468,5,41,0,0,1
1,10.422002,5,37,0,2,1
1,10.472802,9,38,0,4,1
1,10.56164,7,42,0,1,1
0,11.587482,11,46,0,1,1
1,10.460904,5,33,0,2,1
0,11.600476,15,55,0,0,1
1,10.464381,5,50,0,2,1
1,10.379642,6,22,1,0,1
0,10.501483,5,40,0,2,1
0,10.506813,5,47,0,1,1
1,10.628378,10,50,0,0,1
1,10.610259,8,28,0,2,1
0,10.612646,5,39,0,3,1
1,10.696993,12,36,0,2,1
1,10.710382,4,39,0,2,1
1,10.437066,4,48,0,0,1
0,10.568229,5,29,2,0,1
1,10.558129,5,46,0,0,1
1,10.378959,5,58,0,0,1
0,10.476105,5,25,1,0,1
0,10.603369,5,29,1,2,1
1,10.49096,11,21,0,0,1
1,10.600079,5,31,0,1,1
1,10.536475,4,35,0,2,1
1,10.831383,5,30,0,2,1
1,10.461597,8,31,1,0,1
1,10.49143,12,34,1,1,1
1,10.444563,11,28,3,0,1
1,10.530988,2,41,0,2,1
0,11.254684,8,59,0,0,1
1,10.644262,9,27,1,2,1
0,11.134107,16,54,0,0,1
0,11.163557,11,40,1,1,1
1,10.748157,7,35,0,1,1
1,10.424117,5,39,0,3,1
0,10.358268,5,43,0,2,1
1,10.546735,8,36,0,2,1
1,10.167575,4,46,0,0,1
1,10.232409,4,44,0,0,1
1,10.415019,6,44,0,0,1
1,9.4397087,1,29,2,0,1
1,10.526048,10,32,1,2,1
1,10.169228,5,55,0,0,1
1,10.403554,5,34,0,2,1
1,10.375732,8,37,1,1,1
1,10.51803,5,26,0,1,1
0,11.197707,12,38,0,1,1
0,10.387608,8,45,0,1,1
0,10.592153,8,34,0,2,1
1,10.554045,6,36,0,2,1
1,10.591844,10,26,0,2,1
1,10.406093,5,40,1,1,1
0,10.680139,9,40,0,1,1
0,9.2817926,5,57,0,0,1
0,10.529899,8,25,2,0,1
1,10.524458,8,30,0,1,1
1,10.645608,7,25,1,1,1
1,10.610342,2,43,0,2,1
0,11.292684,10,46,0,1,1
0,10.5143,7,26,1,1,1
1,10.364109,4,23,1,0,1
1,10.678174,8,32,0,2,1
1,10.676672,13,34,0,2,1
1,10.451906,3,33,1,1,1
1,10.493905,6,25,0,1,1
1,10.933745,11,39,0,2,1
1,10.220448,9,32,1,0,1
1,10.279145,5,47,0,0,1
1,10.376983,9,46,0,1,1
1,10.548088,8,41,0,2,1
1,10.457786,5,25,2,1,1
1,10.507745,10,39,0,1,1
1,10.474064,3,51,0,0,1
1,10.325908,10,51,0,0,1
1,10.399045,16,49,0,0,1
1,10.339881,8,35,1,2,1
0,10.522865,7,27,1,1,1
0,10.114141,4,47,0,1,1
0,10.522161,8,30,3,0,1
0,10.414384,5,32,2,1,1
1,10.491921,8,34,0,3,1
1,10.202841,4,41,0,0,1
1,10.465267,6,26,1,2,1
0,10.60335,8,33,2,0,1
1,9.5463123,6,49,0,3,1
0,10.420614,6,41,0,3,1
1,11.002878,9,37,0,2,1
1,10.446016,3,40,0,2,1
1,10.31609,6,50,0,1,1
1,10.400943,8,29,0,2,1
0,9.7014647,4,26,1,1,1
1,10.481405,8,31,0,1,1
1,10.109776,5,32,0,1,1
1,10.656443,5,44,0,1,1
0,10.527389,8,23,1,0,1
0,10.2496,8,24,1,0,1
0,10.742908,8,27,1,1,1
